"codmun_resid","cod7","UF","Regiao","mun","Ano","obito_SRAG","obitos_COVID","Interna_COVID","Pop","FPM","RM","PIBpc","ICMSpc","Saudepc","FPMpc","Regra 1_e_2","Regra 2_e_3","Regra_3_e_4","Regra_4_e_5","Regra_5_e_6","Regra_6_e_7"
140045,1400456,"RR","Norte","Pacaraima",2020,23,23,0,17401,5881325.01,0,15030,443.303346934084,847.770226423769,337.987759898856,0,0,1,1,0,0
140047,1400472,"RR","Norte","Rorainópolis",2020,20,18,0,30163,6861545.85,1,19109.35,306.747335145708,861.028564466399,227.482208334715,0,0,0,1,1,0
140050,1400506,"RR","Norte","São João da Baliza",2020,2,1,0,8201,2940662.6,1,25043.92,843.85458114864,873.445401780271,358.573661748567,1,0,0,0,0,0
140060,1400605,"RR","Norte","São Luiz",2020,3,2,0,7986,2940662.6,1,18011.97,858.810291760581,1547.90850864012,368.227222639619,1,0,0,0,0,0
140070,1400704,"RR","Norte","Uiramutã",2020,6,4,0,10559,3920883.51,0,11261.67,634.331857183445,1039.12900464059,371.330950847618,1,1,0,0,0,0
150013,1500131,"PA","Norte","Abel Figueiredo",2020,2,2,14,7434,5859420.83,0,11420.76,577.231489104116,773.796026365348,788.19220204466,1,0,0,0,0,0
150030,1500305,"PA","Norte","Afuá",2020,8,6,0,39218,17578261.92,0,9405.7,173.153355347035,428.105006119639,448.219234025193,0,0,0,0,0,1
150034,1500347,"PA","Norte","Água Azul do Norte",2020,3,3,3,27430,13671981.53,0,15819.85,494.282491432738,666.654812249362,498.431699963544,0,0,0,1,1,0
150050,1500503,"PA","Norte","Almeirim",2020,29,25,19,34109,15625121.73,0,15930.68,1041.26953326102,781.43155178985,458.093808965376,0,0,0,0,1,1
150070,1500701,"PA","Norte","Anajás",2020,7,6,1,29277,13671981.53,0,7288.98,209.775970215528,436.356211702019,466.987106944017,0,0,0,1,1,0
150085,1500859,"PA","Norte","Anapu",2020,25,23,5,27890,13671981.53,0,14888.52,372.890700250986,594.036288633919,490.210883112227,0,0,0,1,1,0
150095,1500958,"PA","Norte","Aurora do Pará",2020,10,7,167,31338,15625121.73,0,7041.68,155.962271682941,453.315824558045,498.599838215585,0,0,0,0,1,1
150100,1501006,"PA","Norte","Aveiro",2020,10,10,9,16388,9765701.17,0,7506.95,432.567456065414,574.425952526239,595.905612033195,0,1,1,0,0,0
150110,1501105,"PA","Norte","Bagre",2020,13,12,32,30673,15625121.73,0,6623.42,165.206645584064,450.211486975516,509.409634858018,0,0,0,0,1,1
150125,1501253,"PA","Norte","Bannach",2020,2,2,0,3286,5859420.83,0,24641.45,1895.05773280584,1833.21342665855,1783.14693548387,1,0,0,0,0,0
150145,1501451,"PA","Norte","Belterra",2020,21,20,12,17732,11718841.41,1,9204.73,334.71658301376,621.583640311302,660.886612339274,0,0,1,1,0,0
150157,1501576,"PA","Norte","Bom Jesus do Tocantins",2020,8,5,28,16981,11718841.41,0,10248.21,383.187481302632,1031.73545256463,690.114917260468,0,0,1,1,0,0
150160,1501600,"PA","Norte","Bonito",2020,8,6,0,16286,9765701.17,0,9818.72,561.879902370134,499.084441237873,599.637797494781,0,1,1,0,0,0
150172,1501725,"PA","Norte","Brasil Novo",2020,18,16,43,15086,9765701.17,0,18322.3,501.869636749304,1075.62216160679,647.335355296301,0,1,1,0,0,0
150175,1501758,"PA","Norte","Brejo Grande do Araguaia",2020,4,3,13,7380,5859420.83,0,11052.23,681.579688346883,903.617153116531,793.959462059621,1,0,0,0,0,0
150190,1501907,"PA","Norte","Bujaru",2020,31,26,67,29132,13671981.53,0,14198.48,162.312702869697,435.45671632569,469.311462652753,0,0,0,1,1,0
150195,1501956,"PA","Norte","Cachoeira do Piriá",2020,6,4,0,33900,15625121.73,0,5391.06,127.1794820059,423.876394985251,460.918045132743,0,0,0,0,1,1
150200,1502004,"PA","Norte","Cachoeira do Arari",2020,15,11,22,23767,11718841.41,0,8386.84,201.001101106576,424.508061598014,493.071965750831,0,0,1,1,0,0
150215,1502152,"PA","Norte","Canaã dos Carajás",2020,75,63,230,37085,15625121.73,0,288658.15,4439.23104112175,4141.41488418498,421.332660914116,0,0,0,0,1,1
150250,1502509,"PA","Norte","Chaves",2020,3,2,1,23717,11718841.41,0,8200.87,275.875472867563,476.914655732175,494.111456339335,0,0,1,1,0,0
150260,1502608,"PA","Norte","Colares",2020,16,12,0,12085,7812560.93,0,7021.17,260.168185353744,531.645016135705,646.467598676045,1,1,0,0,0,0
150275,1502756,"PA","Norte","Concórdia do Pará",2020,18,14,6,33318,15625121.73,0,8763.34,222.355918122336,444.094960081638,468.969377813794,0,0,0,0,1,1
150276,1502764,"PA","Norte","Cumaru do Norte",2020,4,4,0,13473,7812560.93,0,21280.31,1079.39577376976,929.890118756031,579.867952942923,1,1,0,0,0,0
150277,1502772,"PA","Norte","Curionópolis",2020,34,29,25,17929,11718841.41,0,52606.89,1518.81276535222,1051.30245245134,653.624932232696,0,0,1,1,0,0
150280,1502806,"PA","Norte","Curralinho",2020,16,15,7,34448,15625121.73,0,7353.21,143.041366117046,444.49949605202,453.585744600557,0,0,0,0,1,1
